PUID,Name,Version,Extensions,Signatures?,MIMEType,Deprecated?
fmt/628,Microsoft Excel Macro-Enabled Add-In,2007,xlam ,container,application/vnd.ms-excel.addin.macroEnabled.12,
fmt/629,Microsoft PowerPoint Show,2007,ppsx ,container,application/vnd.openxmlformats-officedocument.presentationml.slideshow,
fmt/63,Drawing Interchange File Format (ASCII),Generic,dxf ,1,image/vnd.dxf,
fmt/630,Microsoft PowerPoint Macro-Enabled Show,2007,ppsm ,container,application/vnd.ms-powerpoint.slideshow.macroEnabled.12,
fmt/631,Microsoft PowerPoint Template,2007,potx ,container,application/vnd.openxmlformats-officedocument.presentationml.template,
fmt/632,Microsoft PowerPoint Macro-Enabled Template,2007,potm ,container,application/vnd.ms-powerpoint.template.macroEnabled.12,
fmt/633,Microsoft PowerPoint Macro-Enabled Add-In,2007,ppam ,container,application/vnd.ms-powerpoint.addin.macroEnabled.12,
fmt/634,Microsoft Compiled HTML Help,,chm chw ,1,application/vnd.ms-htmlhelp,
fmt/635,CPIO,,cpio ,1,,
fmt/636,Microsoft PowerPoint Macro-Enabled Slide,2007,sldm ,container,application/vnd.ms-powerpoint.slide.macroEnabled.12,
fmt/637,Microsoft OneNote,,one ,1,application/msonenote,
fmt/638,SPSS Data File,,sav ,1,,
fmt/639,Stuffit Archive File,,sit ,1,,
fmt/64,Drawing Interchange File Format (ASCII),1,dxf ,1,image/vnd.dxf,
fmt/640,MPEG-2 Elementary Stream,,m2v mpeg mpg ,1,,
fmt/641,Epson Raw Image Format,,erf ,1,,
fmt/642,Fujifilm RAW Image Format,,raf ,1,,
fmt/643,ASTM E57 3D File Format,,e57 ,1,,
fmt/644,Nullsoft Scriptable Install System,,nsi ,0,,
fmt/645,Exchangeable Image File Format (Compressed),2.2.1,jpeg jpg ,2,image/jpeg,
fmt/646,Apple iWork Keynote,9,key ,container,,
fmt/647,Microsoft Expression Media,2,ivc ,1,,
fmt/648,Media View Pro,,mpcatalog ,1,,
fmt/649,MPEG-1 Elementary Stream,,m1v mpeg mpg ,1,,
fmt/65,Drawing Interchange File Format (ASCII),1.2,dxf ,1,image/vnd.dxf,
fmt/650,QuarkXPress Report File,,qxp report qxp%20report xtg ,3,application/vnd.Quark.QuarkXPress,
fmt/651,QuarkXPress Project,10,qpt qwd qxp ,2,application/vnd.Quark.QuarkXPress,
fmt/652,QuarkXPress Project,6,qpt qwd qxp ,2,application/vnd.Quark.QuarkXPress,
fmt/653,INTERLIS Transfer File,2.3,xtf ,2,,
fmt/654,INTERLIS Model File,2.3,ili ,1,,
fmt/655,KryoFlux,2,raw ,1,,
fmt/656,KryoFlux,2.2,raw ,1,,
fmt/657,Open XML Paper Specification,,xps ,container,application/oxps,
fmt/658,Cypher Query Language,,cql ,0,,
fmt/659,Industry Foundation Classes,2x2,ifc ,1,,
fmt/66,Drawing Interchange File Format (ASCII),1.3,dxf ,1,image/vnd.dxf,
fmt/660,Adobe Type 1 Mac Font File,,,1,,
fmt/661,Sigma RAW Image,,x3f ,1,,
fmt/662,Panasonic Raw,,RW2 ,1,,
fmt/663,Industry Foundation Classes XML,,ifcXML ,1,,
fmt/664,Gerber Format,,gbr ,0,application/vnd.gerber,
fmt/665,Chasys Draw image file,,cd5 ,1,,
fmt/666,ART image format,,art ,1,,
fmt/667,Photoshop Curve File,,acv atf ,0,,
fmt/668,Olympus RAW,,orf ,3,,
fmt/669,Minolta RAW,,mrw ,1,,
fmt/67,Drawing Interchange File Format (ASCII),1.4,dxf ,1,image/vnd.dxf,
fmt/670,PKCS #7 Crytographic Message File,,p7m ,1,,
fmt/671,Serif PagePlus Publication,Generic,ppp ,0,,
fmt/672,Serif PagePlus Publication,4,ppp ,container,,
fmt/673,Serif PagePlus Publication,5,ppp ,container,,
fmt/674,Serif PagePlus Publication,6,ppp ,container,,
fmt/675,Serif PagePlus Publication,7,ppp ,container,,
fmt/676,Serif PagePlus Publication,8,ppp ,container,,
fmt/677,Serif PagePlus Publication,9,ppp ,container,,
fmt/678,Serif PagePlus Publication,10,ppp ,container,,
fmt/679,Serif PagePlus Publication,11,ppp ,container,,
fmt/68,Drawing Interchange File Format (ASCII),2,dxf ,1,image/vnd.dxf,
fmt/680,Serif PagePlus Publication,12,ppp ,container,,
fmt/681,Serif PagePlus Publication,Home Office,ppp ,container,,
fmt/682,Thumbs DB file,XP,db ,container,application/vnd.microsoft.windows.thumbnail-cache,
fmt/683,Advanced Function Presentation,,afp ,1,,
fmt/684,Vectorworks,2015,vwx ,1,application/vnd.vectorworks,
fmt/685,QuarkXPress Project,9,qpt qwd qxp ,2,application/vnd.Quark.QuarkXPress,
fmt/686,Vectorworks,2010,vwx ,1,application/vnd.vectorworks,
fmt/687,Better Portable Graphics,,bpg ,1,,
fmt/688,Executable and Linkable Format,32bit Little Endian,elf o ,1,,
fmt/689,Executable and Linkable Format,32bit Big Endian,elf o ,1,,
fmt/69,Drawing Interchange File Format (ASCII),2.1,dxf ,1,image/vnd.dxf,
fmt/690,Executable and Linkable Format,64bit Little Endian,elf o ,1,,
fmt/691,Executable and Linkable Format,64bit Big Endian,elf o ,1,,
fmt/692,Mach-O,32bit,,2,,
fmt/693,Mach-O,64bit,,2,,
fmt/694,Dalvik Executable Format,,dex ,1,,
fmt/695,Optimised Dalvik Executable Format,,odex ,1,,
fmt/696,Sibelius,,sib ,1,,
fmt/697,Additive Manufacturing File Format,,amf ,1,,
fmt/698,Standard for the Exchange of Product model data,,p21 step stp ,1,,
fmt/699,Industry Foundation Classes,2x3,ifc ,1,,
fmt/7,Tagged Image File Format,3,,0,,yes
fmt/70,Drawing Interchange File Format (ASCII),2.2,dxf ,1,image/vnd.dxf,
fmt/700,Industry Foundation Classes,4,ifc ,1,,
fmt/701,Processing Development Environment,,pde ,0,,
fmt/702,Universal 3D File Format,,u3d ,1,,
fmt/703,Broadcast WAVE,0 PCM Encoding,wav ,2,audio/x-wav,
fmt/704,Broadcast WAVE,1 PCM Encoding,wav ,2,audio/x-wav,
fmt/705,Broadcast WAVE,2 PCM Encoding,wav ,2,audio/x-wav,
fmt/706,Broadcast WAVE,0 MPEG Encoding,wav ,2,audio/x-wav,
fmt/707,Broadcast WAVE,1 MPEG Encoding,wav ,2,audio/x-wav,
fmt/708,Broadcast WAVE,2 MPEG Encoding,wav ,2,audio/x-wav,
fmt/709,Broadcast WAVE,0 WAVEFORMATEXTENSIBLE Encoding,rf64 wav ,2,audio/x-wav,
fmt/71,Drawing Interchange File Format (ASCII),2.5,dxf ,1,image/vnd.dxf,
fmt/710,Broadcast WAVE,1 WAVEFORMATEXTENSIBLE Encoding,rf64 wav ,2,audio/x-wav,
fmt/711,Broadcast WAVE,2 WAVEFORMATEXTENSIBLE Encoding,wav ,2,audio/x-wav,
fmt/712,RF64,,rf64 wav ,1,,
fmt/713,RF64 Multichannel Broadcast Wave format,,rf64 wav ,1,,
fmt/714,Extensible Music Format,,mxmf xmf ,1,,
fmt/715,Impulse Tracker Module,,it ,1,,
fmt/716,MOD Audio Module,,mod ,1,,
fmt/717,Scream Tracker Module,01-Feb,stm ,1,,
fmt/718,Scream Tracker Module,3,s3m ,1,,
fmt/719,MultiTracker Module,,mtm ,1,,
fmt/72,Drawing Interchange File Format (ASCII),2.6,dxf ,1,image/vnd.dxf,
fmt/720,MBOX,,mbox ,0,application/mbox,
fmt/721,VLW Font File,,vlw ,0,,
fmt/722,Oktalyzer Audio file,,okt ,1,,
fmt/723,Farandole Composer Module,,far ,1,,
fmt/724,Keyhole Markup Language (Container),,kmz ,container,application/vnd.google-earth.kmz,
fmt/725,Microsoft Project,2010,mpp ,container,application/vnd.ms-project,
fmt/726,Virtual Disk Image,,vdi ,1,,
fmt/727,Cartesian Perceptual Compression image format,,cpc cpi ,1,,
fmt/728,RealLegal E-Transcript,,ptx ,2,,
fmt/729,SQLite Database File Format,3,db db3 sqlite sqlite3 ,1,application/x-sqlite3,
fmt/73,Drawing Interchange File Format (ASCII),R9,dxf ,1,image/vnd.dxf,
fmt/730,Digital Negative Format (DNG),1.4,dng ,4,image/tiff,
fmt/731,Bink Video Format,1,bik ,1,,
fmt/732,Bink Video Format,2,bik2 bk2 ,1,video/vnd.radgamettools.bink,
fmt/733,FL Studio project file (FLP),,flp ,1,,
fmt/734,SuperScape Virtual Reality Format,,svr ,1,,
fmt/735,Dolby Digital AC-3,,ac3 ,1,audio/ac3,
fmt/736,ClarisWorks,1 (generic),cwk ,1,,
fmt/737,ClarisWorks,2-3 (generic),cwk ,1,,
fmt/738,ClarisWorks Drawing,4,cwk ,1,,
fmt/739,ClarisWorks Word Processor,4,cwk ,1,,
fmt/74,Drawing Interchange File Format (ASCII),R10,dxf ,1,image/vnd.dxf,
fmt/740,ClarisWorks Spreadsheet,4,cwk ,1,,
fmt/741,ClarisWorks Database,4,cwk ,1,,
fmt/742,ClarisWorks Painting,4,cwk ,1,,
fmt/743,ClarisWorks/AppleWorks Drawing,5,cwk ,1,,
fmt/744,ClarisWorks/AppleWorks Word Processor,5,cwk ,1,,
fmt/745,ClarisWorks/AppleWorks Spreadsheet,5,cwk ,1,,
fmt/746,ClarisWorks/AppleWorks Database,5,cwk ,1,,
fmt/747,ClarisWorks/AppleWorks Painting,5,cwk ,1,,
fmt/748,AppleWorks Drawing,6,cwk ,1,,
fmt/749,AppleWorks Word Processor,6,cwk ,1,,
fmt/75,Drawing Interchange File Format (ASCII),R11/12,dxf ,1,image/vnd.dxf,
fmt/750,AppleWorks Spreadsheet,6,cwk ,1,,
fmt/751,AppleWorks Database,6,cwk ,1,,
fmt/752,AppleWorks Painting,6,cwk ,1,,
fmt/753,AppleWorks Presentation,6,cwk ,1,,
fmt/754,Microsoft Word Document (Password Protected),97-2003,doc wbk ,container,application/msword,
fmt/755,Microsoft Word Document Template (Password Protected),97-2003,dot ,container,application/msword,
fmt/756,Zope export file,,zexp ,1,,
fmt/757,Adobe Flash,11,swf ,2,application/x-shockwave-flash,
fmt/758,Adobe Flash,12,swf ,2,application/x-shockwave-flash,
fmt/759,Adobe Flash,13,swf ,3,application/x-shockwave-flash,
fmt/76,Drawing Interchange File Format (ASCII),R13,dxf ,1,image/vnd.dxf,
fmt/760,Adobe Flash,14,swf ,3,application/x-shockwave-flash,
fmt/761,Adobe Flash,15,swf ,3,application/x-shockwave-flash,
fmt/762,Adobe Flash,16,swf ,3,application/x-shockwave-flash,
fmt/763,Adobe Flash,17,swf ,3,application/x-shockwave-flash,
fmt/764,Adobe Flash,18,swf ,3,application/x-shockwave-flash,
fmt/765,Adobe Flash,19,swf ,3,application/x-shockwave-flash,
fmt/766,Adobe Flash,20,swf ,3,application/x-shockwave-flash,
fmt/767,Adobe Flash,21,swf ,3,application/x-shockwave-flash,
fmt/768,Adobe Flash,22,swf ,3,application/x-shockwave-flash,
fmt/769,Adobe Flash,23,swf ,3,application/x-shockwave-flash,
fmt/77,Drawing Interchange File Format (ASCII),R14,dxf ,1,image/vnd.dxf,
fmt/770,Adobe Flash,24,swf ,3,application/x-shockwave-flash,
fmt/771,Adobe Flash,25,swf ,3,application/x-shockwave-flash,
fmt/772,Adobe Flash,26,swf ,3,application/x-shockwave-flash,
fmt/773,Adobe Flash,27,swf ,3,application/x-shockwave-flash,
fmt/774,Adobe Flash,28,swf ,3,application/x-shockwave-flash,
fmt/775,Adobe Flash,29,swf ,3,application/x-shockwave-flash,
fmt/776,Adobe Flash,30,swf ,3,application/x-shockwave-flash,
fmt/777,Microsoft Network Monitor Packet Capture,1,cap ,1,,
fmt/778,Microsoft Network Monitor Packet Capture,2,cap ,1,,
fmt/779,pcap Packet Capture,,cap dmp pcap ,2,application/vnd.tcpdump.pcap,
fmt/78,Drawing Interchange File Format (ASCII),2000-2002,dxf ,1,image/vnd.dxf,
fmt/780,pcap Next Generation Packet Capture,,pcapng ,2,application/vnd.tcpdump.pcap,
fmt/781,Snoop Packet Capture,,snoop ,1,,
fmt/782,PowerVR Object Data,,pod ,1,,
fmt/783,Material Exchange Format,Operational Pattern 1b,mxf ,1,application/mxf,
fmt/784,Material Exchange Format,Operational Pattern 1c,mxf ,1,application/mxf,
fmt/785,Material Exchange Format,Operational Pattern 2a,mxf ,1,application/mxf,
fmt/786,Material Exchange Format,Operational Pattern 2b,mxf ,1,application/mxf,
fmt/787,Material Exchange Format,Operational Pattern 2c,mxf ,1,application/mxf,
fmt/788,Material Exchange Format,Operational Pattern 3a,mxf ,1,application/mxf,
fmt/789,Material Exchange Format,Operational Pattern 3b,mxf ,1,application/mxf,
fmt/79,Drawing Interchange File Format (ASCII),2004/2005/2006,dxf ,1,image/vnd.dxf,
fmt/790,Material Exchange Format,Operational Pattern 3c,mxf ,1,application/mxf,
fmt/791,Material Exchange Format,Operational Pattern OP-ATOM,mxf ,1,application/mxf,
fmt/792,Unified Emulator Format,,hq.uef uef ,1,,
fmt/793,RPM Package Manager file,1,rpm src.rpm ,1,,
fmt/794,RPM Package Manager file,2,rpm src.rpm ,1,,
fmt/795,RPM Package Manager file,3,rpm src.rpm ,1,,
fmt/796,Adobe After Effects,,aep ,1,,
fmt/797,Apple ProRes,,mov ,1,,
fmt/798,The Neuroimaging Informatics Technology Initiative File Format,1,nii ,2,,
fmt/799,WriteNow,,,1,,
fmt/8,Tagged Image File Format,4,,0,,yes
fmt/80,Drawing Interchange File Format (Binary),R10,dxf ,1,image/vnd.dxf,
fmt/800,CSV Schema,,csvs ,0,text/csv-schema,
fmt/801,TAP (ZX Spectrum),,tap ,1,,
fmt/802,TAP (Commodore 64),,tap ,1,,
fmt/803,Encase Image File Format/Expert Witness Compression Format,,e01 ,1,application/encase,
fmt/804,Logical File Evidence Format,,l01 ,1,,
fmt/805,XAML Binary Format,,xbf ,1,,
fmt/806,Level 5 MAT-file format (MATLAB),,fig mat ,1,,
fmt/807,HDF5,0,h5 hdf hdf5 ,1,,
fmt/808,StarOffice Calc,3.x,sdc ,container,,
fmt/809,StarOffice Calc,4.x,sdc ,container,,
fmt/81,Drawing Interchange File Format (Binary),R11/12,dxf ,1,image/vnd.dxf,
fmt/810,StarOffice Draw,3.x,sdd ,container,,
fmt/811,StarOffice Draw,4.x,sdd ,container,,
fmt/812,StarOffice Writer,3.x,sdw ,container,,
fmt/813,StarOffice Writer,4.x,sdw ,container,,
fmt/814,StarOffice Impress,3.x,sdd ,container,,
fmt/815,StarOffice Impress,4.x,sdd ,container,,
fmt/816,NUT Open Container Format,,nut ,1,,
fmt/817,JSON Data Interchange Format,,json ,0,application/json,
fmt/818,YAML,,yaml ,0,,
fmt/819,CD-ROM/XA (eXtended Architecture),,dat ,1,,
fmt/82,Drawing Interchange File Format (Binary),R13,dxf ,1,image/vnd.dxf,
fmt/820,T64 Tape Image Format,,t64 ,1,,
fmt/821,G64 GCR-encoded Disk Image Format,,g41 g64 g71 ,1,,
fmt/822,CRT C64 Cartridge Image Format,,crt ,1,,
fmt/823,P00 C64 Image Format,,p00 p01 p02 p03 p04 ,1,,
fmt/824,Apple iWork Pages,Generic,pages ,0,,
fmt/825,Apple iWork Numbers,Generic,numbers ,0,,
fmt/826,Scriptware Script Format,,sw3 ,1,,
fmt/827,Serif DrawPlus Drawing,3,dpp ,container,,
fmt/828,MAT-file format,7.3,fig mat ,1,,
fmt/829,3MF 3D Manufacturing Format,,3mf ,container,application/vnd.ms-3mfdocument,
fmt/83,Drawing Interchange File Format (Binary),R14,dxf ,1,image/vnd.dxf,
fmt/830,Qsplat Model,,qs ,1,,
fmt/831,Polygon File Format,,ply ,1,,
fmt/832,Open Inventor File Format,1.x,iv ,1,,
fmt/833,Open Inventor File Format,2.x,iv ,1,,
fmt/834,Quattro Pro Spreadsheet for Windows,01-May,wb1 ,1,,
fmt/835,Quattro Pro Spreadsheet for Windows,6,wb2 ,1,,
fmt/836,Quattro Pro Spreadsheet,07-Aug,wb3 ,container,,
fmt/837,Quattro Pro Spreadsheet,9 onwards,qpw ,container,,
fmt/838,Outlook Express Message Database,,dbx ,1,,
fmt/839,Outlook Express Folder Database,,dbx ,1,,
fmt/84,Drawing Interchange File Format (Binary),2000-2002,dxf ,1,image/vnd.dxf,
fmt/840,ADX Audio Format,,adx ,5,,
fmt/841,Interleaved ADX Audio Format (AIX),,aix ,1,,
fmt/842,AccessData Custom Content Image,,ad1 ad2 ad3 ad4 ad5 ,1,,
fmt/843,AccessData Custom Content Image (Encrypted),,ad1 ad2 ad3 ad4 ad5 ,1,,
fmt/844,Advanced Forensic Format,,aff ,1,,
fmt/845,ClarisWorks Drawing,02-Mar,cwk ,1,,
fmt/846,ClarisWorks Word Processor,02-Mar,cwk ,1,,
fmt/847,ClarisWorks Spreadsheet,02-Mar,cwk ,1,,
fmt/848,ClarisWorks Database,02-Mar,cwk ,1,,
fmt/849,ClarisWorks Painting,02-Mar,cwk ,1,,
fmt/85,Drawing Interchange File Format (Binary),2004-2006,dxf ,1,image/vnd.dxf,
fmt/850,NuFile Exchange Archival Library,,bxy sdk shk ,1,,
fmt/851,Genealogical Data Communication (GEDCOM) Format,,ged ,1,,
fmt/852,Serif DrawPlus Drawing,4,dpp ,container,,
fmt/853,Serif DrawPlus Drawing,5,dpp ,container,,
fmt/854,Personal Ancestral File (PAF),3,paf ,1,,
fmt/855,Personal Ancestral File (PAF),4,paf ,1,,
fmt/856,Personal Ancestral File (PAF),5,paf ,1,,
fmt/857,Navisworks Document,Generic,nwc nwd ,1,,
fmt/858,Navisworks Document,2010,nwc nwd ,1,,
fmt/859,Navisworks Document,2011,nwc nwd ,1,,
fmt/86,PCX,0,pcx ,1,image/vnd.zbrush.pcx,
fmt/860,Navisworks Document,2012,nwc nwd ,1,,
fmt/861,Maya Binary File Format,32 Bit,mb ,1,,
fmt/862,Maya Binary File Format,64 Bit,mb ,1,,
fmt/863,Maya ASCII File Format,,ma ,1,,
fmt/864,3DM,5,3dm ,1,,
fmt/865,STL (Standard Tessellation Language) Binary,,stl ,0,,
fmt/866,Apple Safari Webarchive,,webarchive ,1,,
fmt/867,Microsoft Reader eBook,,lit ,1,,
fmt/868,MySQL Table Definition Format,,frm ,1,,
fmt/869,CDX Internet Archive Index,,cdx ,2,,
fmt/87,PCX,2,pcx ,1,image/vnd.zbrush.pcx,
fmt/870,Perl Script,,pl ,0,,
fmt/871,Adobe Content Server Message File,,acsm ,1,application/vnd.adobe.adept+xml,
fmt/872,Free Lossless Image Format (FLIF),,flif ,1,image/flif,
fmt/873,Notation3,,n3 ,0,text/n3,
fmt/874,Turtle,,ttl ,0,text/turtle,
fmt/875,RDF/XML,,rdf ,0,application/rdf+xml,
fmt/876,Pagemaker Document (Generic),,p65 pmd pmt ,container,application/vnd.pagemaker,
fmt/877,Corel Presentation,07/08/2009,shw ,container,,
fmt/878,Corel Presentation,3,shw ,1,,
fmt/879,Fortran,,f f03 f90 f95 for ,0,,
fmt/88,PCX,3,pcx ,1,image/vnd.zbrush.pcx,
fmt/880,JSON-LD,,jsonld ,0,,
fmt/881,Microsoft Document Imaging File Format,,mdi ,1,image/vnd.ms-modi,
fmt/882,Wordstar 2000,1,,1,,
fmt/883,Siegfried Signature File,,sig ,1,,
fmt/884,AXD HTTP Handler File,,axd ,0,,
fmt/885,BASIC File,,bas ,0,,
fmt/886,HTML Components,,htc ,0,,
fmt/887,SafeGuard Encrypted Virtual Disk,,hdr vol ,1,,
fmt/888,QuadriSpace Format,,qsd qsl qsm qst ,1,,
fmt/889,Feather,,feather ,1,,
fmt/89,PCX,4,pcx ,1,image/vnd.zbrush.pcx,
fmt/890,AbiWord Document,,abw ,1,,
fmt/891,AbiWord Document Template,,awt ,1,,
fmt/892,Compound WordPerfect for Windows Document,6 onwards,doc w60 wp wp6 wpd ,container,application/vnd.wordperfect,
fmt/893,i2 Analysts Notebook,,anb ,container,,
fmt/894,Gaussian Input Data File,,gjf ,1,,
fmt/895,JEOL NMR Spectroscopy,,jdf ,2,,
fmt/896,MusicXML,,musicxml xml ,1,application/vnd.recordare.musicxml+xml,
fmt/897,Compressed MusicXML,,mxl ,0,application/vnd.recordare.musicxml,
fmt/898,Zoomify Image Format,,zif ,1,,
fmt/899,Windows Portable Executable,32 bit,dll exe sys ,1,application/vnd.microsoft.portable-executable,
fmt/9,Tagged Image File Format,5,,0,,yes
fmt/90,PCX,5,pcx ,1,image/vnd.zbrush.pcx,
fmt/900,Windows Portable Executable,64 bit,dll exe sys ,1,application/vnd.microsoft.portable-executable,
fmt/901,Microsoft Works Spreadsheet,06-Sep,xlr ,container,,
fmt/902,Blender 3D,32 bit,blend ,1,,
fmt/903,Blender 3D,64 bit,blend ,1,,
fmt/904,Bluetooth Snoop Packet Capture,,log ,1,,
fmt/905,Variant Call Format,1.x,vcf ,1,,
fmt/906,Variant Call Format,2.x,vcf ,1,,
fmt/907,Variant Call Format,3.x,vcf ,1,,
fmt/908,Variant Call Format,4.x,vcf ,1,,
fmt/909,CRAM File Format,1.x,cram ,1,,
fmt/91,Scalable Vector Graphics,1,svg ,1,image/svg+xml,
fmt/910,CRAM File Format,2.x,cram ,1,,
fmt/911,CRAM File Format,3.x,cram ,1,,
fmt/912,Microsoft Paint,2,msp ,1,,
fmt/913,Caligari trueSpace File Format,ASCII,cob scn ,1,,
fmt/914,Caligari trueSpace File Format,Binary,cob scn ,1,,
fmt/915,Mapsforge Binary Map File Format,,map ,1,,
fmt/916,ESRI ArcMap Document,,mxd mxt ,container,,
fmt/917,AmiraMesh,ASCII 1.0,am amiramesh hx ,1,,
fmt/918,AmiraMesh,3D ASCII 2.0,am amiramesh hx ,1,,
fmt/919,AmiraMesh,3D Binary 2.0,am amiramesh hx ,1,,
fmt/92,Scalable Vector Graphics,1.1,svg ,1,image/svg+xml,
fmt/920,AmiraMesh,3D Binary Little Endian 2.0,am amiramesh hx ,1,,
fmt/921,AmiraMesh,Binary Little Endian 2.1,am amiramesh hx ,1,,
fmt/922,Xar Image Format,,xar ,1,,
fmt/923,Microsoft xWMA,,xwma ,1,,
fmt/924,Microsoft Visio Drawing,2013,vsdx ,container,application/vnd.ms-visio.drawing.main+xml,
fmt/925,Microsoft Visio Stencil,2013,vssx ,container,application/vnd.ms-visio.stencil.main+xml,
fmt/926,Microsoft Visio Template,2013,vstx ,container,application/vnd.ms-visio.template.main+xml,
fmt/927,Microsoft Visio Macro-Enabled Drawing,2013,vsdm ,container,application/vnd.ms-visio.drawing.macroEnabled.main+xml,
fmt/928,Microsoft Visio Macro-Enabled Stencil,2013,vssm ,container,application/vnd.ms-visio.stencil.macroEnabled.main+xml,
fmt/929,Microsoft Visio Macro-Enabled Template,2013,vstm ,container,application/vnd.ms-visio.template.macroEnabled.main+xml,
fmt/93,Virtual Reality Modeling Language,1,wrl ,1,model/vrml,
fmt/930,Magick Image File Format,,mif ,1,,
fmt/931,Mathcad Document,Binary,mcd ,1,,
fmt/932,Mathcad Document,XML,xmcd ,1,,
fmt/933,Simple Vector Format,1,svf ,1,image/vnd-svf,
fmt/934,Simple Vector Format,2,svf ,1,image/vnd-svf,
fmt/935,Animated Portable Network Graphics,,apng png ,1,image/vnd.mozilla.apng,
fmt/936,Microsoft Picture It! Image File,1,mix ,container,image/vnd.mix,
fmt/937,Adobe Air,1,air ,container,application/vnd.adobe.air-application-installer-package+zip,
fmt/938,Python Script File,,py ,0,,
fmt/939,Python Compiled File,2.7,pyc ,1,,
fmt/94,Virtual Reality Modeling Language,2,wrl ,1,model/vrml,
fmt/940,Python Compiled File,3.4,pyc ,1,,
fmt/941,Back Up File,,bak ,0,,
fmt/942,Adobe Air,1.5,air ,container,application/vnd.adobe.air-application-installer-package+zip,
fmt/943,Adobe Air,2,air ,container,application/vnd.adobe.air-application-installer-package+zip,
fmt/944,Ogg Multimedia Container,,ogg ogv opus spx ,1,application/ogg,
fmt/945,Ogg Theora Video,,ogg ogv ,2,video/ogg,
fmt/946,Ogg Opus Codec Compressed Multimedia File,,ogg opus ,1,audio/ogg,
fmt/947,Ogg FLAC Compressed Multimedia File,,ogg ,1,audio/ogg,
fmt/948,Ogg Speex Codec Multimedia File,,ogg spx ,1,audio/ogg,
fmt/949,WordPerfect,4.0/4.1/4.2,wp4 wpd ,0,application/vnd.wordperfect,
fmt/95,Acrobat PDF/A - Portable Document Format,1a,pdf ,1,application/pdf,
fmt/950,MIME Email,1,eml ,1,message/rfc822,
fmt/951,Sonic Foundry WAVE 64,,w64 wav ,1,,
fmt/952,True Audio,1,tta ,1,audio/tta,
fmt/953,True Audio,2,tta ,1,audio/tta,
fmt/954,Adaptive Multi-Rate Wideband Audio,,awb ,1,audio/amr-wb,
fmt/955,Downloadable Sounds Audio,,dls ,1,audio/dls,
fmt/956,RIFF-based MIDI,,rmi ,1,,
fmt/957,DirectMusic Segment File Format,,sgt ,1,,
fmt/958,DirectMusic Style File Format,,sty ,1,,
fmt/959,Portable Sound Format,,gsf gsflib minigsf minipsf minipsf1 psf psf1 psflib ,1,,
fmt/96,Hypertext Markup Language,,htm html ,2,text/html,
fmt/960,DOS Sound and Music Interface Advanced Module Format,,amf ,1,,
fmt/961,Mobile eXtensible Music Format,,mxmf ,1,audio/mobile-xmf,
fmt/962,QCP Audio File Format,,qcp ,1,audio/qcelp,
fmt/963,OMNIC Spectral Data File,,spa ,1,,
fmt/964,Final Draft Document,05-Jul,fdr ,1,,
fmt/965,Music Encoding Initiative,,mei ,1,,
fmt/966,AppleDouble Resource Fork,1,,1,multipart/appledouble,
fmt/967,AppleSingle,1,,1,application/applefile,
fmt/968,AppleSingle,2,,1,application/applefile,
fmt/969,Rich Text Format,0,rtf ,1,application/rtf,
fmt/97,Hypertext Markup Language,2,htm html ,1,text/html,
fmt/970,Khronos Texture File,,ktx ,1,image/ktx,
fmt/971,Microsoft Windows Movie Maker File,,mswmm ,container,,
fmt/972,Dolby MLP Lossless Audio,,mlp ,1,audio/vnd.dolby.mlp,
fmt/973,DTS Coherent Acoustics (DCA) Audio,,dts ,1,audio/vnd.dts,
fmt/974,Notation Interchange File Format,,nif ,1,application/vnd.music-niff,
fmt/975,Jamcracker Tracker Module,,jam ,1,,
fmt/976,MagicaVoxel Vox format,,vox ,1,,
fmt/977,AutoCAD Design Web Format(DWFx),,dwfx ,container,,
fmt/978,3DS Max,,chr max ,container,,
fmt/979,XML Property List,,plist ,1,,
fmt/98,Hypertext Markup Language,3.2,htm html ,1,text/html,
fmt/980,AAE Sidecar Format,,aae ,1,,
fmt/981,EazyDraw File Format,,ezdraw ,1,,
fmt/982,iMovieProj File Format,,iMovieProj ,1,,
fmt/983,NIB File Format,,nib ,1,,
fmt/984,Binary Property List,,aae ezdraw iMovieProj nib plist ,1,,
fmt/985,Valve Texture Format,,vtf ,2,image/vnd.valve.source.texture,
fmt/986,Extensible Metadata Platform Format,,xmp ,1,,
fmt/987,Microsoft OneNote Package File,,onepkg ,1,,
fmt/988,ESRI ArcScene Document,,sxd ,container,,
fmt/989,ESRI ArcGlobe Document,,3dd ,container,,
fmt/99,Hypertext Markup Language,4,htm html ,1,text/html,
fmt/990,ESRI File Geodatabase,,,0,,
fmt/991,SHA256 File,,sha256 ,0,,
fmt/992,SHA1 File,,sha1 ,0,,
fmt/993,MD5 File,,md5 ,0,,
fmt/994,Jeffs Image Format,,jif ,1,,
fmt/995,SIARD (Software-Independent Archiving of Relational Databases),2,siard ,container,,
fmt/996,Adobe Photoshop Large Document Format,,psb ,1,image/vnd.adobe.photoshop,
fmt/997,SPSS Portable Data Format,,por ,1,,
fmt/998,OpenRaster Image Format,,ora ,container,image/openraster,
fmt/999,Krita Document Format,,kra ,container,application/x-krita,
x-fmt/1,Microsoft Word for Macintosh Document,3,mcw ,1,application/msword,
x-fmt/10,dBASE Database,IV,dbf ,7,application/dbase,
x-fmt/100,AutoCAD Script,,scr ,0,,
